datetime,price,size,commission,type,pnl,pnlcomm,signal
2017-01-19,887.69,635.464051248074,1128.1901673048058,buy,0.0,-1128.1901673048058,1
2017-01-21,895.8100000000001,635.464051248074,1138.5101034970744,sell,5159.968096134369,4021.457992637295,-1
2017-02-03,1009.1499999999999,536.9502240771966,1083.726637255006,buy,0.0,-1083.726637255006,1
2017-02-08,1052.48,536.9502240771966,1130.2587436735357,sell,23266.053209264996,22135.79446559146,-1
2017-02-10,985.7099999999999,551.0618075045238,1086.3742685505683,buy,0.0,-1086.3742685505683,1
2017-02-11,995.49,551.0618075045238,1097.153037505357,sell,5389.384477394284,4292.231439888927,-1
2017-02-14,1000.74,555.133133920779,1111.0878648797607,buy,0.0,-1111.0878648797607,1
2017-02-15,1008.88,555.133133920779,1120.125432299991,sell,4518.7837101151235,3398.6582778151324,-1
2017-02-16,1011.5300000000001,546.4859467834311,1105.573859499688,buy,0.0,-1105.573859499688,1
2017-02-27,1179.05,546.4859467834311,1288.668511110009,sell,91547.32580516033,90258.65729405032,-1
2017-02-28,1194.64,500.45338902539066,1195.7232733305857,buy,0.0,-1195.7232733305857,1
2017-03-07,1278.49,500.45338902539066,1279.6493066701435,sell,41963.01666977897,40683.367363108824,-1
2017-03-09,1150.05,544.4226762180796,1252.2265975692048,buy,0.0,-1252.2265975692048,1
2017-03-10,1190.89,544.4226762180796,1296.6950417626977,sell,22234.22209674644,20937.52705498374,-1
2017-03-11,1116.97,585.105868471668,1307.0914038135982,buy,0.0,-1307.0914038135982,1
2017-03-14,1242.46,585.105868471668,1453.9412746826174,sell,73424.93543450953,71970.99415982692,-1
2017-03-18,1071.02,650.2873090337657,1392.9414274426877,buy,0.0,-1392.9414274426877,1
2017-03-20,1017.9699999999999,650.2873090337657,1323.9459439542052,sell,-34497.74174424133,-35821.68768819553,-1
2017-03-25,929.06,761.1762560934337,1414.356824972331,buy,0.0,-1414.356824972331,1
2017-03-28,1039.92,761.1762560934337,1583.1248244733674,sell,84383.99975051812,82800.87492604475,-1
2017-03-29,1043.99,719.9386625239217,1503.217528576698,buy,0.0,-1503.217528576698,1
2017-04-05,1143.0,719.9386625239217,1645.779782529685,sell,71281.1269764934,69635.34719396371,-1
2017-04-07,1190.85,666.2096400708313,1586.7114997566987,buy,0.0,-1586.7114997566987,1
2017-04-10,1206.2,666.2096400708313,1607.1641357068734,sell,10226.317975087324,8619.153839380451,-1
2017-04-14,1172.91,677.4663216686529,1589.2140466967596,buy,0.0,-1589.2140466967596,1
2017-04-15,1170.34,677.4663216686529,1585.7318698033826,sell,-1741.0884466886055,-3326.820316491988,-1
2017-04-16,1173.45,680.255218846405,1596.4909731106281,buy,0.0,-1596.4909731106281,1
2017-05-10,1720.2800000000002,680.255218846405,2340.4588957541873,sell,371983.96132177976,369643.5024260256,-1
2017-05-16,1705.48,573.6994136445463,1956.865751965002,buy,0.0,-1956.865751965002,1
2017-05-24,2264.23,573.6994136445463,2597.9748467127824,sell,320554.5473738902,317956.5725271774,-1
2017-05-28,2041.9999999999998,579.6396105780998,2367.2481696009595,buy,0.0,-2367.2481696009595,1
2017-06-07,2880.74,579.6396105780998,3339.5820235535098,sell,486166.9269762754,482827.3449527219,-1
2017-06-08,2683.03,550.1530005120835,2952.154009927871,buy,0.0,-2952.154009927871,1
2017-06-10,2822.32,550.1530005120835,3105.4156328105273,sell,76630.81144132814,73525.39580851761,-1
2017-06-14,2703.02,584.0501206100348,3157.3983140226724,buy,0.0,-3157.3983140226724,1
2017-06-20,2598.0,584.0501206100348,3034.724426689741,sell,-61336.94366646581,-64371.66809315555,-1
2017-07-01,2465.49,629.6525928734038,3104.8043424068965,buy,0.0,-3104.8043424068965,1
2017-07-03,2504.37,629.6525928734038,3153.7661280287325,sell,24480.892810918158,21327.126682889426,-1
2017-07-16,1970.51,796.7432177828794,3139.980956146683,buy,0.0,-3139.980956146683,1
2017-07-21,2875.03,796.7432177828794,4581.321306844624,sell,720670.1753489703,716088.8540421257,-1
2017-07-22,2670.0,752.0499440438081,4015.946701193935,buy,0.0,-4015.946701193935,1
2017-07-23,2832.71,752.0499440438081,4260.678793984672,sell,122366.04639536794,118105.36760138327,-1
2017-07-26,2564.82,843.0253508057012,4324.4165605069575,buy,0.0,-4324.4165605069575,1
2017-07-31,2742.37,843.0253508057012,4623.774862578062,sell,149679.1510355519,145055.37617297386,-1
2017-08-01,2855.81,795.6610427448635,4544.513524962417,buy,0.0,-4544.513524962417,1
2017-08-04,2793.3699999999994,795.6610427448635,4445.151373944438,sell,-49681.075508989394,-54126.22688293383,-1
2017-08-05,2855.0,779.3795631625998,4450.257305658445,buy,0.0,-4450.257305658445,1
2017-08-08,3387.55,779.3795631625998,5280.374478382931,sell,415058.5863622427,409778.21188385977,-1
2017-08-09,3412.41,706.2383458714543,4819.949587670419,buy,0.0,-4819.949587670419,1
2017-08-11,3413.03,706.2383458714543,4820.825323219299,sell,437.8677744404413,-4382.957548778858,-1
2017-08-13,3855.1,636.5274821352865,4907.754192759486,buy,0.0,-4907.754192759486,1
2017-08-14,4053.8700000000003,636.5274821352865,5160.799328007548,sell,126522.5676240311,121361.76829602355,-1
2017-08-21,4058.6799999999994,595.0429854944529,4830.178128733252,buy,0.0,-4830.178128733252,1
2017-08-25,4300.34,595.0429854944529,5117.774304482431,sell,143798.08787458995,138680.3135701075,-1
2017-08-27,4333.38,580.967345042753,5035.1045473227305,buy,0.0,-5035.1045473227305,1
2017-08-31,4573.2,580.967345042753,5313.759724699036,sell,139327.58868815284,134013.8289634538,-1
2017-09-05,4277.0,603.7887401594878,5164.808883324259,buy,0.0,-5164.808883324259,1
2017-09-06,4396.52,603.7887401594878,5309.138543771983,sell,72164.83022386208,66855.6916800901,-1
2017-09-07,4605.8,579.1304178375642,5334.717756952507,buy,0.0,-5334.717756952507,1
2017-09-09,4312.0,579.1304178375642,4994.420723431154,sell,-170148.51676067617,-175142.93748410733,-1
2017-09-15,3227.79,785.915665102755,5073.541449324043,buy,0.0,-5073.541449324043,1
2017-09-19,4101.6,785.915665102755,6447.023383970921,sell,686740.9673234387,680293.9439394678,-1
2017-09-21,3874.46,779.8165304857066,6042.735909411302,buy,0.0,-6042.735909411302,1
2017-10-01,4326.09,779.8165304857066,6747.112988737822,sell,352188.5396632599,345441.42667452205,-1
2017-10-04,4315.83,758.6585381505225,6548.482557412339,buy,0.0,-6548.482557412339,1
2017-10-09,4597.98,758.6585381505225,6976.593570490679,sell,214055.5065391697,207078.912968679,-1
2017-10-10,4764.7,712.4039462076696,6788.782164991367,buy,0.0,-6788.782164991367,1
2017-10-14,5653.6,712.4039462076696,8055.293900559363,sell,633255.8677839977,625200.5738834384,-1
2017-10-18,5597.31,659.1635339007701,7379.08527987624,buy,0.0,-7379.08527987624,1
2017-10-21,5977.29,659.1635339007701,7880.023199099468,sell,250468.9596116147,242588.93641251524,-1
2017-10-27,5890.0,660.8012354282447,7784.238553344723,buy,0.0,-7784.238553344723,1
2017-11-05,7388.83,660.8012354282447,9765.095984738555,sell,990428.715696916,980663.6197121774,-1
2017-11-06,7372.72,596.2300117170264,8791.67386397271,buy,0.0,-8791.67386397271,1
2017-11-08,7130.28,596.2300117170264,8502.573855891358,sell,-144550.00404067617,-153052.57789656753,-1
2017-11-12,6355.130000000001,697.0173129390002,8859.271271956057,buy,0.0,-8859.271271956057,1
2017-11-15,6608.999999999999,697.0173129390002,9213.174842427705,sell,176951.78523582313,167738.61039339541,-1
2017-11-16,7294.0,628.100287831462,9162.726998885368,buy,0.0,-9162.726998885368,1
2017-11-21,8226.17,628.100287831462,10333.719489501076,sell,585496.2453078544,575162.5258183533,-1
2017-11-22,8095.229999999999,585.8266367957299,9484.802729975792,buy,0.0,-9484.802729975792,1
2017-12-02,10840.45,585.8266367957299,12701.24872970454,sell,1608222.9998643743,1595521.7511346696,-1
2017-12-03,10872.0,519.4377176635304,11294.653732875806,buy,0.0,-11294.653732875806,1
2017-12-08,16599.99,519.4377176635304,17245.32183767486,sell,2975334.0523995254,2958088.7305618506,-1
2017-12-09,15800.000000000002,460.63402832154907,14556.035294960951,buy,0.0,-14556.035294960951,1
2017-12-12,16470.0,460.63402832154907,15173.284892911826,sell,308624.7989754379,293451.51408252603,-1
2017-12-13,16650.01,469.031503796436,15618.758457051395,buy,0.0,-15618.758457051395,1
2017-12-17,19187.78,469.031503796436,17999.346615830356,sell,1190294.0793894818,1172294.7327736514,-1
